"treeID","Z","TreeSpecies","coords.x1","coords.x2","DBH","Biomass"
13102,13.73,1,294157.375,6808259.375,17.4130579722121,114.41318957396
13103,9.17,1,293797.875,6808259.125,11.1694851403654,37.5960239190256
13104,9.67,1,293807.125,6808259.125,11.7767505199739,42.8430420178357
13105,21.27,1,293860.875,6808259.125,34.5864232839072,596.206157579414
13106,12.5,2,294439.625,6808259.125,19.8390354628477,123.90107337261
13107,4.18,2,294980.375,6808259.125,6.1566770512226,6.01299687517891
13108,9.84,1,293809.625,6808258.875,11.9866056542567,44.7607309014127
13109,20.33,1,294111.625,6808258.875,31.6341777734169,487.829245448358
13110,13.45,1,294143.375,6808258.875,16.9735400459447,107.271591813275
13111,13.16,1,294303.625,6808258.875,16.5277352028985,100.30483337513
13112,11.08,1,293752.125,6808258.625,13.5761755199817,61.0900185471507
13113,12.5,1,293870.875,6808258.625,15.5466984226195,85.9492279097398
13114,20.61,1,294001.125,6808258.625,32.4787579736133,517.906039706828
13115,20.13,1,294081.875,6808258.625,31.0477252767263,467.401760698882
13116,11.58,2,294319.625,6808258.625,17.8329051501012,94.1724360879351
13117,11.07,2,294358.375,6808258.625,16.8011303227272,80.6230568634383
13118,5.04,2,294379.875,6808258.625,7.31197351681142,9.13326666408261
13119,16.15,2,294495.125,6808258.625,30.443432755567,348.790463062491
13120,8.47,2,293603.625,6808258.375,12.230092408945,34.7758063763596
13121,21.74,1,294020.125,6808258.375,36.1969652131041,658.976769861285
13122,14.21,1,294040.125,6808258.375,18.1884133446359,127.675704649211
13123,8.49,3,294769.125,6808258.375,11.3636314962188,30.413949067671
13124,15.07,1,294147.875,6808258.125,19.65267599601,155.042167568009
13125,7.15,1,294811.875,6808258.125,8.83878227998285,21.4007178655535
13126,8.99,1,293794.125,6808257.875,10.9542936531969,35.8426961160357
13127,19.21,1,294124.875,6808257.875,28.5158408731916,383.710710124958
13128,10.73,2,294243.625,6808257.875,16.141610996602,72.5853249331472
13129,2.39,2,294458.375,6808257.875,3.57018522184653,1.90673708588538
